출하일자,도,시군,총출하량,판매금액,총면적,식부면적,경작 평수,단위면적 당 판매금액,단위면적 당 출하량
2021-01-25,전남,화순,135.0,755357.0,3600,2000.0,604.9972775122512,1248.5295853,0.2231415
2021-01-25,전남,화순,8.0,120993.0,3600,2000.0,604.9972775122512,199.98932969999998,0.0132232
2021-01-26,전남,화순,18.0,225000.0,3600,2000.0,604.9972775122512,371.9025,0.0297522
2021-01-26,전남,화순,55.0,605000.0,3600,2000.0,604.9972775122512,1000.0044999999999,0.09090949999999999
2021-01-26,전남,화순,89.0,845500.0,3600,2000.0,604.9972775122512,1397.52695,0.1471081
2021-01-26,전남,화순,12.0,79200.0,3600,2000.0,604.9972775122512,130.90967999999998,0.0198348
2021-01-26,전남,화순,2.0,8000.0,3600,2000.0,604.9972775122512,13.223199999999999,0.0033058
2021-01-27,전남,화순,31.0,372000.0,3600,2000.0,604.9972775122512,614.8788,0.0512399
2021-01-27,전남,화순,55.0,478500.0,3600,2000.0,604.9972775122512,790.91265,0.09090949999999999
2021-01-27,전남,화순,66.0,514800.0,3600,2000.0,604.9972775122512,850.91292,0.10909139999999999
2021-01-27,전남,화순,66.0,382800.0,3600,2000.0,604.9972775122512,632.7301199999999,0.10909139999999999
2021-01-28,전남,화순,45.0,360000.0,3600,2000.0,604.9972775122512,595.044,0.0743805
2021-01-28,전남,화순,23.0,184000.0,3600,2000.0,604.9972775122512,304.1336,0.0380167
2021-01-28,전남,화순,29.0,220400.0,3600,2000.0,604.9972775122512,364.29916,0.0479341
2021-01-28,전남,화순,12.0,67200.0,3600,2000.0,604.9972775122512,111.07488,0.0198348
2021-02-01,전남,화순,96.0,1257331.0,3600,2000.0,604.9972775122512,2078.2424099,0.1586784
2021-02-01,전남,화순,31.0,366711.0,3600,2000.0,604.9972775122512,606.1366118999999,0.0512399
2021-02-01,전남,화순,170.8,2154653.0,3600,2000.0,604.9972775122512,3561.4259436999996,0.28231532
2021-02-01,전남,화순,234.5,2411227.0,3600,2000.0,604.9972775122512,3985.5171082999996,0.38760504999999995
2021-02-01,전남,화순,210.0,1420635.0,3600,2000.0,604.9972775122512,2348.1675915,0.347109
2021-02-01,전남,화순,22.0,314073.0,3600,2000.0,604.9972775122512,519.1312617,0.036363799999999995
